Name,Image,Street,Address,City,County,State,Zip,Website,Phone,Email,Insurance,Medicaid,Medicare,Uninsured,Self-Pay,SlidingScale,Methadone,Suboxone,Residential,Outpatient,Detox,Alcohol,DUI,Family,Group,Individual,ParentsandChildren,Pregnant,Adolescent,TransitionalLiving,DualDiagnosis,Other,Hours,Medical,Referral,Additional,Reviewed
Legacy Freedom Treatment Centers,https://cdn0.sussexdirectories.com/rms/rms_photos/sized/48/01/300148-694372-1_1500x1500.jpg,445 Dolley Madison Road,,Greensboro,Guilford,NC,27410,http://www.legacyfreedom.com,336-897-0896,unavailable,Private Insurance,No Medicaid,No Medicare,Uninsured Unknown,Self-Pay,Sliding Scale Unknown,No Methadone,Suboxone,No Residential,Outpatient,Detox Unknown,Alcohol Treatment,DUI,Family ,Group,Individual,Parents and Children Unknown,Pregnant,Adolescents,Transitional Living,Dual Diagnosis Unknown,Mental Health,Unknown,Unknown,Unknown,,10/22/2017
Life Changes Counseling,http://img.addicted.org/os/directory/companies/lifechanges.jpg,123 East Elm Street,,Graham,Alamance,NC,27253,http://www.lifechangeseap.com,336-228-7600,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,No Residential,Outpatient,Detox Unknown,Alcohol Treatment Unknown,DUI,Family Unknown,Group,Individual Unknown,No Parents and Children,Pregnant Unknown,Adolescents,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,,3/16/2018
Marc Todd Lewis LCSW PLLC,,111- D Davis Street,,Asheboro,Randolph,NC,27203,https://intervention.com/listings/marc-todd-lewis-lcsw-pllc/,336-681-8048,info@marclewiscounseling.com,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone ,No Residential,Outpatient,No Detox,Alcohol Treatment,No DUI,Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,M-F 9am-5pm,No,Not required,Marital Counseling Offered,3/16/2018
Mary’s House,http://maryshousegso.org/wp-content/uploads/2016/09/pic4.png,520 Guilford Avenue,,Greensboro,Guilford,NC,27401,http://www.maryshousegso.org ,336-275-0820,maryshousegso@aol.com,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured,Self-Pay Unknown,Sliding Scale Unknown,No Methadone,No Suboxone ,Residential,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family,Group,Individual,Parents and Children Unknown,Pregnant,No Adolescents,Transitional Living,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,"Homeless, Substance Abuse housing for women under the age of 10; Offers nutrition, parenting, financial classes  ",3/16/2018
McLeod Center,http://mcleodcenter.com/wp-content/uploads/2013/05/h2.jpg,515 Clanton Road,,Charlotte,Mecklenburg,NC,28217,http://www.mcleodcenter.com,855-824-9458,unavailable,Private Insurance,Medicaid,No Medicare,Uninsured,Self-Pay,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family ,Group,Individual,Parents and Children,Pregnant,Adolescents,Transitional Living,Dual Diagnosis Unknown,,M-F 8:30am-3pm,Medical,Unknown,,10/22/2017
Mother-to-Baby NC: Medications and More during Pregnancy and Breastfeeding,https://genetics.medicine.iu.edu/files/5213/6318/3877/MotherToBaby_logo_CMYK.jpg,2001 Mail Service Center,,Raleigh,Wake,NC,27699,https://mothertobaby.org ,800-532-6302,ContactUs@mothertobaby.org,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,Not a treatment Center (Research Center),Unknown,Unknown,Unknown,"Evidence-based information to mothers, health care professionals, and the general public. Information on medications and other exposures during pregnancy and while breastfeeding. Homeless, Sinlge Women during pregnancy and after birth",3/16/2018
"NC DHHS-Mental Health, Developmental Disabilities and Substance Abuse Services",https://i2.wp.com/addictionmedicineconference.org/wp-content/uploads/2018/01/NCDHHS-seal.png,2001 Mail Service Center,,Raleigh,Wake,NC,27699,http://www.ncdhhs.gov/assistance/mental-health-substance-abuse/substance-abuse,919-855-4800,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,"Does not provide Treatment, Offers referral to treatment programs",3/16/2018
NC Medical Board,https://www.ncmedboard.org/images/site_images/logo@2x.png,1203 Front Street ,,Raleigh,Wake,NC,27609,https://www.ncmedboard.org/,919-326-1100,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,M-F 8am - 5pm,Unknown,Unknown,Does not provide treatment,3/16/2018
New Season Greensboro Treatment Center,https://www.treatmenthub365.com/cms/wp-content/uploads/2017/04/newseason.png,207 S Westgate Drive,Suites G-J,Greensboro,Guilford,NC,27407,https://newseason.com/clinics/greensboro-treatment-center/,877-284-7074,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay,Sliding Scale Unknown,Methadone,Suboxone,Residential Unknown,Outpatient,Detox,Alcohol Treatment Unknown,DUI Unknown,Family,Group,Individual,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,"Walk-in 5:30am-1:30pm for screening and assessment.  Bring photo ID, must have opiates in system and at least one year of usage prior to admittance to program",3/16/2018
"New Vision Therapy, PLLC",https://static.wixstatic.com/media/c56494_b26b713f5e9a4b31a552c96c5724ed35~mv2.jpg,232 Gilmer Street,,Reidsville,Rockingham,NC,27403,http://business.reidsvillechamber.org/list/member/new-vision-therapy-pllc-1891,336-308-0822,unavailable,Insurance Unknown,Medicaid,No Medicare,No Uninsured,No Self-Pay,No Sliding Scale,No Methadone,Suboxone,No Residential,No Outpatient,No Detox,Alcohol Treatment Unknown,DUI Unknown,Family ,Group,Individual,No Parents and Children,Pregnant,Adolescents,Transitional Living Unknown,Dual Diagnosis,,Unknown,Unknown,Unknown,Appointment within 24-72 hours ,3/16/2018
North Carolina Harm Reduction Coalition Urban Survivors Union,https://i.vimeocdn.com/portrait/1894113_640x640,2416 Hillsborough Street,A,Raleigh,Wake,NC,27607,http://www.nchrc.org/,336-543-8050,robert.bb.childs@gmail.com,No Private Insurance,No Medicaid,No Medicare,No Uninsured,No Self-Pay,No Sliding Scale,No Methadone,No Suboxone,No Residential,Outpatient,No Detox,No Alcohol Treatment,DUI,No Family,No Group,Individual,No Parents and Children,No Pregnant,No Adolescents,No Transitional Living,Dual Diagnosis,Refferals for treatment,MTF 2pm-7pm; Sunday 4pm-5:30pm,"Hepatitis C education, Testing, and Treatment ?",Not required,Syringe Exchange Program,3/16/2018
Old Vineyard,https://media.bizj.us/view/img/5415571/old-vineyard*1200xx360-203-0-8.jpg,3637 Old Vineyard Road,,Winston Salem,Forsyth,NC,27104,http://www.oldvineyardbhs.com,336-794-3550,unavailable,Private Insurance,Medicaid,Medicare,No Uninsured,Self-Pay,No Sliding Scale,No Methadone,Suboxone,No Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,24/7,Medical,Required,,10/22/2017
Orange County Health Department,http://www.orangecountync.gov/logo_with_tagline.png,200 S. Cameron Street,,Hillsborough,Orange,NC,27278,http://www.orangecountync.gov/news_detail_T4_R271.php,919-732-8181,qstewart@orangecountync.gov,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,Naloxone Access Program/Treatment Services not provided through department,3/16/2018
Orange County Sheriff's Office,http://hillsborough-nc.thedealpages.com/img/companies/10/103/1032/10322/103228.jpg,106 E. Margaret Lane,,Hillsborough,Orange,NC,27278,http://www.ocsonc.com/,919-245-2900,bwilkerson@orangecountync.gov,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,Orange County Drop Boxes,3/16/2018
Path of Hope,http://apathofhope.homestead.com/files/QuickSiteImages/POH_Logo.jpg,1675 East Center Street,,Lexington,Davidson,NC,27292,http://www.apathofhope.org,336-248-8914,pathofhope@pathofhope.org,Private Insurance,Medicaid,Medicare,Uninsured Unknown,Self-Pay,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential,No Outpatient,No Detox,Alcohol Treatment,DUI Unknown,Family ,Group,Individual,Parents and Children,No Pregnant,No Adolescents,Transitional Living,Dual Diagnosis Unknown,,M-F 8am-5pm ,Unknown,Unknown,Abstinence based ,10/22/2017
Pavillion- Mill Springs,http://www.pavillon.org/myimages/about-header-941x317.jpg,241 Pavillion Place,,Mill Spring,Polk,NC,28756,http://www.pavillion.org,828-694-2300,joyh@pavillon.org,Private Insurance,Medicaid,No Medicare,Uninsured Unknown,Self-Pay,No Sliding Scale,No Methadone,No Suboxone ,Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family ,Group,Individual,Parents and Children,No Pregnant,No Adolescents,Transitional Living,Dual Diagnosis,Mental Health,24/7 ,Medical,Not required,"Visit website, pavilion.org Live chat",10/22/2017
Port Health Services,http://www.rehabcosts.org/gallery/6265_port_human_services_fbc_facility_based_crisis_27910_uan.gif,2602 Courtier Dr,,Greenville,Pitt,NC,27834,https://www.porthealth.org/,252-830-7540,info@porthealth.com,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,Methadone,Suboxone,Residential,Outpatient,Detox,Alcohol Treatment,No DUI,Family,Group,Individual,Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,Outpatient: M-F 8am-6pm; Residential 24/7,Medical,Not required,All patients receive a comprehensive assessment ,3/16/2018
Presbyterian Counseling Center,http://www.presbyteriancounseling.org/userfiles/1668074/image/PCC%20LOGO.png,3713 Richfield Road,,Greensboro,Guilford,NC,27410,http://www.presbyteriancounseling.org,336-288-1484,jsweet.pcc@gmail.com,Private Insurance,No Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,Suboxone,No Residential ,Outpatient,No Detox,No Alcohol Treatment,No DUI,Family ,No Group,Individual,Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,Addiction Counseling,M-Th 9-5; F 9-12,Medical,Call for assessment ,Call 336-288-1484 x100,10/22/2017
Prevention Partnership for Community Care,http://www.p4communitycare.org/,1050 Revolution Mill Dr,#4,Greensboro,Guilford,NC,27405,http://www.p4communitycare.org/,336-235-0930,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,"Refers patients to providers, does not provide treatment directly ",3/16/2018
Psychotherapeutic Services,https://www.psychotherapeuticservices.com/images/logotop.png,2260 South Church Street,Suite 303,Burlington,Alamance,NC,27215,https://www.psychotherapeuticservices.com/index.php/programs/nc/actt,336-538-6990,ncactt@ps-corp.net,Private Insurance,Medicaid,No medicare,Uninsured,Self-Pay,No Sliding Scale,Methadone Unknown,Suboxone Unknown,No Residential,Outpatient,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group,Individual,No Parents and Children,Pregnant,No Adolescents,Transitional Living Unknown,Dual Diagnosis,,M-F 8am-4pm,Unknown,Unknown,,3/16/2018
R.J. Blackley Alcohol and Drug Abuse Treatment Center,https://files.nc.gov/ncdhhs/styles/main-image/public/RJB.jpg,100 H Street,,Butner,Granville,NC,27509,http://www.ncdhhs.gov/divisions/dsohf/rj-blackley-alcohol-and-drug-abuse-treatment-center ,919-575-7928,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone ,Residential,No Outpatient,Detox,Alcohol Treatment,DUI,Family ,Group,Individual,No Parents and Children,Pregnant,No Adolescents,No Transitional Living,Dual Diagnosis,,M-F 8am-4pm,Medical,Required,,10/22/2017
Randolph County Day Reporting Center,http://www.randolphcountync.gov/portals/0/Images/banners/DRCAbanner.jpg?ver=2017-02-01-111650-543,145 Worth Street,,Asheboro,Randolph,NC,27203,http://www.randolphcountync.gov/Departments/Day-Reporting-Center,336-683-8211,unavailable,No Private Insurance,No Medicaid,No medicare,Uninsured,No Self-Pay,No Sliding Scale,No Methadone,No Suboxone ,No Residential,Outpatient,No Detox,Alcohol Treatment,DUI,No Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,M-TR 9am-8pm F 9am-5pm,No,Required; Court ordered only,Transportation assistance available,3/16/2018
Randolph Fellowship Home Inc Magnum House,https://chambermaster.blob.core.windows.net/images/customers/2231/members/5588/logos/MemLogoFull/RFH_Logo.png,841 East Pritchard Street,,Asheboro,Randolph,NC,27203,https://www.randolphrecovery.com/,336-629-6137,rfh@randolphrecovery.com,Private Insurance,Medicaid,No Medicare,Uninsured,Self-Pay,No Sliding Scale,No Methadone,No Suboxone,Residential,Outpatient,No Detox,No Alcohol Treatment,No DUI,No Family,Group,Individual,No Parents and Children,No Pregnant,Adolescents,Transitional Living,Dual Diagnosis,,24/7,No,Required,Males only treatment center,3/16/2018
Randolph Fellowship Home Inc Alpha House,https://chambermaster.blob.core.windows.net/images/customers/2231/members/5588/logos/MemLogoFull/RFH_Logo.png,373 Hill Street,,Asheboro,Randolph,NC,27203,https://www.randolphrecovery.com/,336-625-1637,rfh@randolphrecovery.com,Private Insurance,No Medicaid,No Medicare,Uninsured,Self-Pay,No Sliding Scale,No Methadone,No Suboxone,Residential,Outpatient,No Detox,No Alcohol Treatment,No DUI,No Family,Group,Individual,No Parents and Children,No Pregnant,Adolescents,Transitional Living,Dual Diagnosis,,24/7,No,Required,Females only treatment center,3/16/2018
Recovery Solutions,,213 North Main Street,,Troy,Montgomery,NC,27371,http://livingsolutionsofthecarolinas.com,910-571-0047,unavailable,Private Insurance,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay,Sliding Scale,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient,Detox Unknown,Alcohol Treatment Unknown,DUI,Family Unknown,Group,Individual,Parents and Children Unknown,Pregnant Unknown,Adolescents,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,,3/16/2018
Residential Treatment Services of Burlington,http://img.addicted.org/os/directory/companies/RESIDENTIAL-TREATMENT-SERVICES-OF-ALAMANCE-INC.jpg,136 Hall Avenue,,Burlington,Alamance,NC,27217,http://www.rtsalamance.org,336-227-7417,unavailable,Private Insurance,Medicaid,Medicaid,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone,Residential,No Outpatient,Detox,Alcohol Treatment,DUI,No Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,Transitional Living at Female Facility,Dual Diagnosis,Multiple facilities,24/7,No,Required,Call for initial phone assessment,3/16/2018
Ringer Center,https://s3-media4.fl.yelpcdn.com/bphoto/OUIrrJeHpQmv-BQHB509Pw/l.jpg,213 East Bessemer Avenue,,Greensboro,Guilford,NC,27401,http://www.ringercenter.com,336-379-7146,ringercenter@aol.com,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,Suboxone,No Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family ,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,MWF: 9am to 9pm T TR: 9am- 6pm Sat & Sun: Closed,Medical,Not required,,10/22/2017
Room at the Inn,http://www.ohenrymag.com/wp-content/uploads/2016/11/RoomAtTheInnftr.jpg,734 Park Avenue,,Greensboro,Guilford,NC,27405,http://www.roominn.org ,336-275-9566,info@roominn.org,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,"Program helping homeless, single, pregnant women during pregnancy and after birth",M-TR 9am-2pm,Unknown,Unknown,Not a treatment facility,3/16/2018
Sandhills Alternative Academy LLC,http://www.saltacademync.com/images/test-page_06.gif,121 Pine Needle Lane,,Hamlet,Richmond,NC,28345,http://www.saltacademync.com,910-417-4922,info@saltacademync.com,Private Insurance,Medicaid,No Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone,No Residential,Outpatient,No Detox,No Alcohol Treatment,No DUI,Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,M-TR 8:30-6 F 8:30-12:30,No,Required,Children and adolescents only; Refferrals can be made by anyone; Medication Administration,3/16/2018
Sandhills Center,http://www.sandhillscenter.org/wp-content/themes/sandhills/images/logo.png,201 N Eugene Street,,Greensboro,Guilford,NC,27401,http://www.sandhillscenter.org/,800-256-2452,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,24/7,Unknown,Unknown,"Does not Provide services; Call to find providers who accept Medicaid Agent of the North Carolina Department of Health & Human Services Makes referrals to provider services Does not provide services directly Anson, Guilford, Harnett, Hoke, Lee, Montgomery, Moore, Randolph and Richmond counties",3/16/2018
Sharon DeEsch,https://www.bipinc.com/pilotFiles/propertyHeaderImages/thumbs/515%20College%20Road%20Building%20cropped2.jpg,515 College Rd,#18,Greensboro,Guilford,NC,27410,https://www.healthgrades.com/providers/sharon-deesch-yv3tq,336-299-2725,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,Addiction Counseling,3/16/2018
Therapeutic Alternatives - Mobile Crisis,"https://static.wixstatic.com/media/75aa21_c8c5d020460a406f92f270a739de729c.png/v1/fill/w_470,h_63,al_c,usm_0.66_1.00_0.01/75aa21_c8c5d020460a406f92f270a739de729c.png",962 S. Fayetteville Street,,Asheboro,Randolph,NC,27203,https://www.mytahome.com/mobile-crisis,877-626-1772,courteney.schenck@mytahome.com,No Private Insurance,No Medicaid,No Medicare,No Uninsured,No Self-Pay,No Sliding Scale,No Methadone,No Suboxone,No Residential,Outpatient,No Detox,No Alcohol Treatment,DUI,No Family,No Group,No Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,24/7,No,Not required,Referral program; Mental Health assessment,3/16/2018
Triad Behavioral Resources,https://lh5.googleusercontent.com/p/AF1QipMaiKuDbTpyKE1iIq5xz5KlSl95LAkeF2X5tlc3=w314-h168-p-k-no,810 Warren Street,,Greensboro,Guilford,NC,27403,http://www.triadbehavioralresources.com,336-389-1413,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,No Sliding Scale,No Methadone,Suboxone,No Residential,Outpatient,No Detox,Alcohol Treatment,DUI,Family ,Group,Individual,No Parents and Children,Pregnant,No Adolescents,No Transitional Living,Dual Diagnosis,,M-TR 9am-7pm Fri 9am-5pm,No,Not required,Aftercare Program 24-48 Hour appointment turnaround from time of intake call Substance Abuse & Mental Health Treatment/Co-Occurring Disorders Medicaid clinics on Mondays and Fridays,10/22/2017
Triad Psychiatric & Counseling Center,http://images1.loopnet.com/i2/162r-uPe0zrYT5fnTnSuU4TuoTY7bDVFdN05fj0ccQY/110/image.jpg,603 Dolley Madison Road,Suite 100 ,Greensboro,Guilford,NC,27410,http://www.triadpsychiatricandcounseling.com,336-632-3505,unavailable,Private Insurance,Medicaid,Medicare Unknown,Uninsured Unknown,Self-Pay,Sliding Scale Unknown,Methadone,Suboxone,Residential Unknown,Outpatient,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual,Parents and Children,Pregnant,Adolescents,Transitional Living Unknown,Dual Diagnosis Unknown,,M-F 8am-5pm,Unknown,Call ahead for appointment,New Patients-Call billing office 336-662-8185 to set up account.  After hours 877-875-8997,10/22/2017
Triad Therapy Mental Health Ctr LLC,http://triadtherapy.com/assets/logo.jpg,131 Davis Street,Suite B,Asheboro,Randolph,NC,27203,http://www.triadtherapy.com/,336-896-0904,info@triadtherapy.com,Private Insurance,Medicaid,No Medicare,Uninsured,Self-Pay,No Sliding Scale,No Methadone,Suboxone,No Residential,Outpatient,No Detox,No Alcohol Treatment,DUI,Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,8:30am-6:30pm,No,Not required,Medication administration,3/16/2018
Trinity Behavioral Health,,2716 Troxler Road,,Burlington,Alamance,NC,27215,http://www.trinitybehavioralhc.com/,336-570-0408,Ldeal@simrunpsychiatry.com,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale Unknown,Methadone,Suboxone Unknown,No Residential,Outpatient,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family,Group,Individual,No Parents and Children,Pregnant Unknown,Adolescents,Transitional Living Unknown,Dual Diagnosis Unknown,,M-F 9am-4pm,Unknown,Required,,3/16/2018
UNC at Chapel Hill- Alcohol and Substance Abuse Program,https://www.uncmedicalcenter.org/app/files/public/143/medical-center-logo.png,1101 Weaver Dairy Road ,Suite 102 & 103,Carrboro,Orange,NC,27516,https://www.uncmedicalcenter.org/uncmc/hospitals-locations/profile/?id=232,984-974-6320,britta.starke@unc.health.unc.edu,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,No Sliding Scale,Methadone,Suboxone,No Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family,Group,Individual,No Parents and Children,pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,M-F 8:30am-5pm,Medical Onsite,Not required,Payment assistance available,3/16/2018
UNCG Spartan Recovery,https://shs.uncg.edu/wp-content/uploads/SRPHeaderImage.png,107 Gray Drive,,Greensboro,Guilford,NC,27412,http://www.shs.uncg.edu/services-srp,336-334-4559, recovery@uncg.edu ,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,Peer support ONLY for students (and future students) and collegiate recovery community,3/16/2018
Wesley Long Hospital ,https://s3-media3.fl.yelpcdn.com/bphoto/XOLKjzft7cTCv5l5jlCZ3g/l.jpg,2400 W Friendly Ave,,Greensboro,Guilford,NC,27403,https://www.conehealth.com/locations/wesley-long-hospital/,336-832-9615,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential,Outpatient,Deox,Alcohol Treatment Unknown,DUI Unknown,Family,Group,Individual,Parents and Children Unknown,Pregnant Unknown,Adolescents,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,,3/16/2018
Wilmington Treatment Center,https://www.wilmingtontreatment.com/wp-content/uploads/sites/15/2017/07/wilmington_logo_M.png,3801 Lake Boone Trail,Suite 200,Raleigh,Wake,NC,27607,http://www.wilmingtontreatment.com,910-758-2023,unavailable,Private Insurance,Medicaid,Medicare,Uninsured Unknown,Self-Pay,Sliding Scale Unknown,No Methadone,Suboxone,Residential,Outpatient,Detox,Alcohol Treatment,DUI Unknown,Family Unknown,Group,Individual,Parents and Children Unknown,Pregnant,No Adolescents,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,Same week appointments,10/22/2017
